DOY;Year;Hour;Label
93;2019;0;0.245
93;2019;1;0.93
93;2019;2;1.5
93;2019;3;1.94
93;2019;4;2.515
93;2019;5;3.345
93;2019;6;4.18
93;2019;7;4.955
93;2019;8;6.89
93;2019;9;19.98
93;2019;10;28.205
93;2019;11;33.05
93;2019;12;34.92
93;2019;13;37.275
93;2019;14;37.58
93;2019;15;37.58
93;2019;16;37.58
93;2019;17;37.58
93;2019;18;37.58
93;2019;19;37.58
93;2019;20;37.58
93;2019;21;37.58
93;2019;22;37.58
93;2019;23;37.58
94;2019;0;37.58
94;2019;1;37.58
94;2019;2;37.58
94;2019;3;37.58
94;2019;4;37.58
94;2019;5;37.58
94;2019;6;37.58
94;2019;7;37.58
94;2019;8;37.58
94;2019;9;37.58
94;2019;10;37.58
94;2019;11;38.855
94;2019;12;42.31
94;2019;13;43.475
94;2019;14;44.4
94;2019;15;44.66
94;2019;16;44.66
94;2019;17;44.66
94;2019;18;44.66
94;2019;19;44.66
94;2019;20;44.66
94;2019;21;44.66
94;2019;22;44.66
94;2019;23;44.66
95;2019;0;44.66
95;2019;1;44.66
95;2019;2;44.66
95;2019;3;44.66
95;2019;4;44.66
95;2019;5;44.66
95;2019;6;44.66
95;2019;7;44.66
95;2019;8;44.66
95;2019;9;44.66
95;2019;10;44.66
95;2019;11;44.66
95;2019;12;44.66
95;2019;13;44.66
95;2019;14;44.66
95;2019;15;44.66
95;2019;16;44.66
95;2019;17;44.66
95;2019;18;44.66
95;2019;19;44.66
95;2019;20;44.66
95;2019;21;44.66
95;2019;22;44.66
95;2019;23;44.66
96;2019;0;44.66
96;2019;1;44.66
96;2019;2;44.66
96;2019;3;44.66
96;2019;4;44.66
96;2019;5;44.66
96;2019;6;44.66
96;2019;7;44.66
96;2019;8;44.66
96;2019;9;44.66
96;2019;10;44.66
96;2019;11;44.66
96;2019;12;44.66
96;2019;13;44.66
96;2019;14;44.66
96;2019;15;44.66
96;2019;16;44.66
96;2019;17;44.66
96;2019;18;44.66
96;2019;19;44.66
96;2019;20;44.66
96;2019;21;44.66
96;2019;22;44.66
96;2019;23;44.66
97;2019;0;44.66
97;2019;1;44.66
97;2019;2;44.66
97;2019;3;44.66
97;2019;4;44.66
